"APV","ATV","IDV","LPV","NFV","RTV","SQV"
2.3,NA,32.7,NA,23.4,51.6,37.8
76,NA,131,200,50,200,156
2.8,NA,12,NA,100,41,145.6
6.5,9.2,2.1,5.3,5,36,13
8.3,NA,100,NA,161.1,170.2,100
82,75,400,400,91,400,400
2.3,NA,12,NA,11,62.2,400
0.5,NA,0.5,0.5,0.6,0.5,0.7
33,38,19,90,9.3,109,74
14.9,NA,22.3,NA,42.2,104.8,41
7.7,NA,69.6,39,110.8,NA,11.6
3.2,NA,41.5,49.3,75.7,176.8,32.5
2.8,NA,48.9,NA,80.7,121.7,42.1
8.8,NA,9.4,35,16,88,33
6.1,10,28,11,41,36,65
14,9.5,41,40,43,69,2.2
4.2,NA,25.2,25.2,53.2,190,33.2
9.6,37,18,37,14,62,34
6.2,NA,12,NA,10.2,75.5,400
3.5,NA,4.4,NA,6.2,8.6,1.1
3.1,NA,8.7,NA,32,14.7,16.9
1.2,NA,0.7,NA,3.6,1.7,1.3
0.9,1,1.2,0.8,2.3,1,1
11,37,20,15,51,72,340
1,NA,87,16,297,23,71
31,360,200,316,200,200,290
42,96,21,27,200,81,200
1.7,1.8,3.3,1.1,5.2,3.3,3.8
3,32,35,32,29,41,164
9.5,20,8.2,11,72,6.7,46
31,NA,59,NA,156,400,400
1.5,NA,1,NA,2.2,1.8,1.1
0.8,NA,0.8,0.7,1,1,0.8
3.9,NA,20.2,NA,21.6,74.1,9.2
0.1,NA,1,0.5,2.9,0.6,0.6
NA,NA,155.8,73.7,67.7,176,208.7
0.7,NA,0.8,NA,0.8,0.9,1.1
2.7,21,24,6.1,42,29,132
15,38,25,85,50,400,9.4
39,NA,18,NA,48,84,130
61,90,39,400,51,400,184
NA,NA,21,7.5,55,54,85
4.4,NA,5.2,NA,8.6,8.5,3.4
2.6,NA,46,30,59,59,322
4.9,15,18,5.9,24,27,73
10,0.7,1.1,4,2.3,3.7,1.5
0.8,1.2,1.1,0.7,1.6,0.8,0.9
3.9,1.8,2.3,2.6,2.5,6.4,1.9
15,38,25,85,50,300,9.4
NA,NA,1.2,1.2,3,1.6,1
1.4,0.9,1,0.8,1.6,1.2,0.8
1.1,NA,3,1.3,5.9,1.8,1.1
NA,NA,0.8,0.8,1.2,1.2,0.7
2.3,NA,6.3,26,15,65,20
6.2,NA,5,21,17,77,38
3.7,7.1,6.6,13,9.9,63,24
0.9,NA,1,1,1.4,0.9,0.9
46,78,46,97,59,300,400
4.7,29,25,34,28,45,147
8.3,79,16,12,400,70,400
58,5.6,42,400,23,400,6.4
2,NA,24,20,72,73,27
69,57,21,33,47,69,3.5
1.5,6.3,8.3,11,12,25,2.2
11,NA,42,44,71,84,2.7
2.1,16,12,22,15,20,82
2.1,NA,22.2,7.8,24.7,47.8,104.8
0.8,2.8,3.2,1.5,3.5,4.2,0.9
61,NA,38,65,66,58,41
NA,NA,26,25,37,83,7.4
7.5,NA,21,6.3,62,18,33
9.7,62,49,32,63,151,57
NA,NA,8.3,3,22,5.9,3.4
NA,NA,16,20,37,102,7.9
6,2.8,8.1,10,7.4,17,1.5
0.4,2,1.9,0.9,3.7,3.1,2.5
NA,NA,0.7,0.7,11,0.6,0.4
NA,NA,48,24,100,90,58
NA,NA,0.8,1,0.9,1.1,0.8
11,18,28,17,53,43,62
NA,NA,1.4,1.2,2.6,9,1.2
1.6,NA,3.3,NA,3.1,7.4,0.5
1.2,NA,2,1.1,3.7,1.6,1.2
NA,NA,6,4,11,2.1,1.1
9.5,1,46,112,16,36,0.9
0.4,NA,0.6,0.6,0.7,0.8,0.8
0.4,NA,0.5,0.4,0.9,0.5,0.7
NA,NA,33,15,16,45,18
14,9.1,21,75,30,62,22
NA,NA,19,37,41,83,10
NA,NA,1.5,0.9,47,1.3,2.3
15,1.7,35,120,11,55,2
0.8,0.8,0.6,0.7,0.4,0.6,0.9
NA,NA,5.6,10,4.9,20,26
3.9,NA,4.8,NA,24,10,3.2
8.4,19,15,28,24,72,133
300,260,18,51,67,280,25
2.9,2.2,4.4,3.2,3.7,8.5,0.6
6.1,NA,9.3,NA,19,5.5,3.8
69,NA,126,400,267,400,92
NA,NA,0.9,0.7,1.3,0.8,0.7
9.8,22,13,7.1,400,17,53
5.3,NA,8.8,5.3,16.4,24.5,23.8
12,3.4,2,2.9,4.7,4.4,1.9
21,68,400,400,57,400,400
8.8,NA,9.4,28,56,187,306
1.4,11,17,4.4,26,15,20
1.1,1.1,1,1,1.3,1.1,1.2
5.4,15,19,7.2,34,44,70
17,26,21,14,26,70,13
4.4,NA,12.5,NA,3,1.9,0.6
11,15,33,34,56,100,1.5
2.8,NA,7.7,NA,7.7,15.2,6.5
3.2,NA,7.5,NA,9.3,4.2,2.6
10.2,NA,50.7,NA,65.8,128,12.3
NA,NA,NA,NA,7,NA,1
2.3,NA,8.3,NA,11.5,22.1,0.9
3.4,NA,2.7,NA,4.3,8,0.3
NA,NA,NA,NA,37,NA,5
7.6,NA,35.9,NA,34.3,127,3.6
NA,NA,NA,NA,2,NA,1
9.1,NA,17.2,NA,7.2,9.2,2.9
0.3,NA,0.9,NA,1,0.6,0.9
1.1,NA,2.2,NA,1.7,2.2,1
NA,NA,NA,NA,1,NA,1
0.9,NA,24,NA,27.1,47.1,4.7
NA,NA,2.8,0.8,12,1.3,0.9
6.5,NA,11,35,20,63,25
15,27,32,13,29,58,4.5
NA,NA,1.8,0.9,73,1.8,2.7
2.8,3.1,7.4,13,8.7,42,2.1
NA,NA,0.9,0.3,2,1.3,0.8
0.4,2.2,0.8,0.5,24,0.7,0.8
NA,NA,0.3,0.3,0.4,0.3,0.4
2.7,7.3,8.1,8.4,21,5.7,11
